INVNO,CSTCODE,AMTTTL,TAXAMT,DISCPCT,DTCREAT,STSCODE,LOCCODE
INV0001,CST0042,15099,1510,0,2024-01-15,C,LOC003
INV0002,CST0107,8450,845,5,2024-01-16,C,LOC001
INV0003,CST0042,22375,2238,0,2024-01-18,P,LOC003
INV0004,CST0215,6700,670,10,2024-01-20,C,LOC002
INV0005,CST0089,31200,3120,0,2024-01-22,C,LOC005
INV0006,CST0003,4550,455,0,2024-01-23,X,LOC001
INV0007,CST0107,19800,1980,15,2024-01-25,C,LOC004
INV0008,CST0042,11250,1125,0,2024-01-27,P,LOC003
INV0009,CST0331,45000,4500,5,2024-01-28,C,LOC006
INV0010,CST0089,7825,783,0,2024-01-30,C,LOC005
INV0011,CST0215,16400,1640,0,2024-02-01,C,LOC002
INV0012,CST0003,9200,920,10,2024-02-03,C,LOC001
INV0013,CST0331,28750,2875,0,2024-02-05,P,LOC006
INV0014,CST0107,5300,530,0,2024-02-07,C,LOC004
INV0015,CST0042,37600,3760,20,2024-02-10,C,LOC003
INV0016,CST0089,12100,1210,0,2024-02-12,C,LOC005
INV0017,CST0215,8900,890,5,2024-02-14,X,LOC002
INV0018,CST0003,21450,2145,0,2024-02-16,C,LOC001
INV0019,CST0331,6250,625,0,2024-02-18,C,LOC006
INV0020,CST0107,14750,1475,10,2024-02-20,C,LOC004
